,person,label,most_frequent_event,count_most_frequent_event,less_frequent_event,count_less_frequent_event,ad campaign hit,brand listing,checkout,conversion,generic listing,lead,search engine hit,searched products,staticpage,viewed product,visited site,mean_per_event
35,a535ae46,0,viewed product,8,ad campaign hit,1,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,2.142857142857143
36,3e0a157f,0,viewed product,80,brand listing,1,10.0,1.0,14.0,0.0,12.0,0.0,3.0,0.0,0.0,80.0,10.0,18.571428571428573
37,d43165f0,0,viewed product,19,checkout,1,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,7.5
38,18545d76,0,viewed product,19,ad campaign hit,1,1.0,4.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,19.0,4.0,4.625
39,1459f687,0,viewed product,19,checkout,2,0.0,6.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,19.0,2.0,7.6
40,cf1f1f0c,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
41,a95e63b0,0,brand listing,43,checkout,1,4.0,43.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,35.0,1.0,12.857142857142858
42,d76a02a8,0,viewed product,82,staticpage,1,27.0,39.0,2.0,2.0,11.0,0.0,2.0,0.0,1.0,82.0,27.0,21.444444444444443
43,c99e92ca,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5
44,eac859e3,0,viewed product,326,conversion,1,20.0,43.0,4.0,1.0,18.0,1.0,10.0,16.0,0.0,326.0,10.0,44.9
45,eb3f7713,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
46,e4b02ea2,1,viewed product,20,ad campaign hit,2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,2.0,6.5
47,a82577d3,0,viewed product,29,checkout,1,6.0,18.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,2.0,10.333333333333334
48,d8001b23,1,viewed product,84,generic listing,6,13.0,32.0,0.0,0.0,6.0,0.0,18.0,6.0,0.0,84.0,19.0,25.428571428571427
49,cc82e97b,0,viewed product,13,brand listing,1,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,13.0,2.0,3.4285714285714284
50,be009232,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
51,1dfc95a9,0,viewed product,8,generic listing,4,6.0,0.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,8.0,7.0,5.666666666666667
52,9f96a6cd,0,viewed product,6,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,2.5
53,db3c22cc,0,viewed product,13,checkout,1,0.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,3.8333333333333335
54,7a472832,1,viewed product,139,checkout,2,4.0,16.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,139.0,8.0,24.714285714285715
55,1c28e2b3,0,viewed product,19,checkout,2,5.0,6.0,2.0,0.0,10.0,0.0,5.0,6.0,0.0,19.0,2.0,6.875
56,cb0d3339,0,viewed product,5,searched products,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,3.5
57,45a1fa0d,1,viewed product,7,ad campaign hit,1,1.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,7.0,2.0,3.1666666666666665
58,0c00dc08,0,checkout,2,search engine hit,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.25
59,3f14240f,0,viewed product,74,checkout,2,8.0,8.0,2.0,2.0,21.0,0.0,11.0,9.0,3.0,74.0,15.0,15.3
60,5f600f50,0,viewed product,15,checkout,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6.5
61,57fd41ba,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
62,ae949955,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
63,c065014b,0,viewed product,7,checkout,1,2.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,0.0,7.0,0.0,2.8333333333333335
64,12c0225e,0,searched products,10,checkout,1,0.0,9.0,1.0,1.0,3.0,0.0,2.0,10.0,0.0,8.0,3.0,4.625
65,653ff941,0,viewed product,16,ad campaign hit,2,2.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,16.0,4.0,4.428571428571429
66,f263345c,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
67,9eea3b0d,0,ad campaign hit,5,checkout,1,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.8
68,0cd9549e,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
69,de41fa13,1,generic listing,4,brand listing,1,0.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.3333333333333335
70,c7dba464,0,ad campaign hit,3,visited site,1,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,2.5
71,2954bbe3,0,searched products,4,brand listing,1,0.0,1.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,4.0,3.0,2.375
72,965ba647,0,viewed product,50,checkout,1,6.0,31.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,50.0,4.0,13.428571428571429
73,65db6564,0,viewed product,9,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,3.6666666666666665
74,5f690282,0,searched products,10,ad campaign hit,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,10.0,2.0,3.7142857142857144
75,4118be94,0,generic listing,4,ad campaign hit,1,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,1.7142857142857142
76,b36d2b29,0,ad campaign hit,3,checkout,1,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0
77,5ab2569f,0,ad campaign hit,4,checkout,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.25
78,d26d88be,0,viewed product,9,staticpage,1,0.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,9.0,1.0,3.6666666666666665
79,1c36be6b,0,searched products,16,checkout,1,11.0,11.0,1.0,0.0,7.0,0.0,9.0,16.0,0.0,8.0,10.0,9.125
80,e226e4ca,0,viewed product,177,lead,1,16.0,0.0,30.0,8.0,18.0,1.0,2.0,45.0,0.0,177.0,45.0,38.0
81,fe5679d2,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,0794d197,0,viewed product,8,ad campaign hit,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,2.3333333333333335
83,cc73b33e,0,viewed product,11,search engine hit,2,6.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,4.0,5.2
84,6b7b17f1,0,viewed product,30,brand listing,1,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,3.0,6.833333333333333
85,eab40f92,0,checkout,1,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
86,6a08a60c,1,viewed product,40,brand listing,1,17.0,1.0,4.0,0.0,6.0,1.0,9.0,32.0,0.0,40.0,15.0,13.88888888888889
87,7908cfb1,0,generic listing,5,checkout,1,0.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0,5.0,1.0,3.0
88,338c1ebd,1,viewed product,25,brand listing,1,0.0,1.0,2.0,0.0,5.0,0.0,2.0,5.0,0.0,25.0,1.0,5.857142857142857
89,d766aec3,0,viewed product,34,search engine hit,1,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,1.0,8.4
90,f8d5b9f5,0,viewed product,3,visited site,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.5
91,ad151501,0,viewed product,8,checkout,1,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,1.0,3.6
92,62adfa0c,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.6666666666666667
93,4d9db593,0,viewed product,96,search engine hit,1,5.0,3.0,4.0,0.0,11.0,0.0,1.0,10.0,0.0,96.0,6.0,17.0
94,e6748804,0,viewed product,21,brand listing,2,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,21.0,5.0,6.0
95,8e5ea0ac,0,brand listing,22,searched products,1,6.0,22.0,0.0,0.0,10.0,0.0,4.0,1.0,0.0,18.0,9.0,10.0
96,a2922b73,0,viewed product,12,checkout,1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,4.75
97,4105b21e,0,viewed product,21,conversion,1,3.0,4.0,6.0,1.0,5.0,0.0,2.0,1.0,0.0,21.0,9.0,5.777777777777778
98,24f10191,0,checkout,2,ad campaign hit,1,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.3333333333333333
99,15c6f544,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
100,7e59c10b,0,viewed product,81,brand listing,2,5.0,2.0,4.0,0.0,8.0,0.0,5.0,2.0,0.0,81.0,12.0,14.875
101,eecd9ba4,0,ad campaign hit,10,search engine hit,1,10.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,5.8
102,f2cc70ff,0,visited site,3,ad campaign hit,2,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.2
103,2da7eb9c,0,ad campaign hit,5,checkout,1,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.25
104,0e8091a8,0,viewed product,32,checkout,1,3.0,6.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,32.0,5.0,7.857142857142857
105,c792a751,1,viewed product,30,search engine hit,1,7.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,1.0,30.0,8.0,8.0
106,689bb662,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
107,6bf7d423,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.4
108,37720542,0,viewed product,17,checkout,1,7.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,17.0,6.0,5.833333333333333
109,7472f676,0,viewed product,3,ad campaign hit,1,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,1.5
110,65ec1b06,0,viewed product,28,checkout,1,3.0,2.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,28.0,2.0,6.285714285714286
111,2b3d93ca,0,brand listing,8,ad campaign hit,1,1.0,8.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,3.142857142857143
112,030cdb09,0,viewed product,40,brand listing,1,0.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,40.0,3.0,8.333333333333334
113,c1dc5569,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.6
114,2398acfa,0,ad campaign hit,4,visited site,2,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.25
115,04708f23,0,viewed product,111,checkout,3,9.0,13.0,3.0,0.0,17.0,0.0,3.0,6.0,0.0,111.0,9.0,21.375
116,6633c5e1,0,ad campaign hit,3,checkout,1,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.8
117,fdc665d0,0,viewed product,12,checkout,1,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,12.0,2.0,3.5
118,6131ed0c,0,ad campaign hit,2,brand listing,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.4
119,a9fe9184,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,1.7142857142857142
120,fe0331f9,0,checkout,1,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
121,f65f7b13,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.5
122,6b99f579,1,viewed product,3,ad campaign hit,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.6666666666666667
123,fe7a39b4,0,checkout,1,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
124,e0194823,0,viewed product,2,ad campaign hit,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.1428571428571428
125,031e80e3,0,searched products,4,checkout,1,3.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,0.0,2.0,2.0,2.5714285714285716
126,8a201939,0,viewed product,22,checkout,1,2.0,7.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,22.0,2.0,5.428571428571429
127,d95f2c87,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
128,65c3c30e,0,viewed product,20,checkout,1,8.0,3.0,1.0,0.0,7.0,0.0,8.0,0.0,0.0,20.0,5.0,7.428571428571429
129,5d913db2,0,search engine hit,29,generic listing,10,23.0,21.0,0.0,0.0,10.0,0.0,29.0,0.0,0.0,25.0,10.0,19.666666666666668
130,e8ed9208,0,viewed product,18,checkout,1,4.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,4.714285714285714
131,4115546b,0,brand listing,130,conversion,2,104.0,130.0,5.0,2.0,96.0,7.0,107.0,0.0,4.0,103.0,54.0,61.2
132,4888a205,0,viewed product,10,checkout,1,6.0,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,1.0,5.0
133,25fbb562,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.6
134,452bf39a,0,ad campaign hit,3,checkout,1,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.4
135,fe68f676,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
136,a80969fd,0,viewed product,4,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0
137,a408c38e,0,ad campaign hit,3,brand listing,1,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0
138,a3ea421e,0,viewed product,3,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.75
139,46028156,0,viewed product,25,generic listing,3,4.0,4.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,25.0,5.0,7.0
140,6580372b,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.75
141,d2e425c1,0,viewed product,46,conversion,1,2.0,9.0,2.0,1.0,4.0,0.0,0.0,2.0,1.0,46.0,3.0,7.777777777777778
142,1154e325,0,generic listing,3,checkout,1,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.8
143,9e6ff614,0,viewed product,5,checkout,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.25
144,513a24c5,0,viewed product,13,ad campaign hit,1,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,13.0,1.0,3.6666666666666665
145,59cd5da5,0,ad campaign hit,7,checkout,1,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.5
146,623fbe35,0,viewed product,45,checkout,1,6.0,0.0,1.0,0.0,6.0,0.0,6.0,23.0,1.0,45.0,5.0,11.625
147,e3f4a0a6,0,ad campaign hit,4,checkout,1,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,2.8
148,500110ad,0,viewed product,33,conversion,1,13.0,11.0,5.0,1.0,6.0,0.0,4.0,0.0,0.0,33.0,7.0,10.0
149,a49873b8,0,viewed product,7,checkout,1,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,2.0,3.4
150,31e2cdc3,0,ad campaign hit,1,ad campaign hit,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
151,ca24dc30,1,viewed product,5,search engine hit,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,3.5
152,bd83c9fa,0,viewed product,10,brand listing,2,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.6
153,dc8914f7,0,searched products,8,brand listing,1,3.0,1.0,0.0,0.0,3.0,0.0,3.0,8.0,0.0,2.0,1.0,3.0
154,9476c52a,1,ad campaign hit,3,checkout,1,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0
155,3db7e747,0,viewed product,19,checkout,2,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,9.0
156,9cf1238e,0,viewed product,19,ad campaign hit,1,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,19.0,1.0,4.166666666666667
157,a1bb5c36,0,ad campaign hit,6,brand listing,1,6.0,1.0,2.0,1.0,6.0,0.0,3.0,6.0,0.0,3.0,1.0,3.2222222222222223
158,9fea8746,0,viewed product,159,conversion,1,7.0,48.0,2.0,1.0,4.0,0.0,5.0,0.0,0.0,159.0,11.0,29.625
159,74aa2094,0,viewed product,120,lead,1,32.0,67.0,11.0,2.0,49.0,1.0,20.0,18.0,6.0,120.0,21.0,31.545454545454547
160,85bb57ed,0,searched products,3,brand listing,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,3.0,3.0,1.875
161,cb446336,0,viewed product,11,checkout,1,0.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,2.0,11.0,3.0,4.0
162,d08c6669,0,viewed product,3,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.75
163,8fe7b22e,0,viewed product,35,generic listing,6,22.0,0.0,9.0,0.0,6.0,0.0,12.0,6.0,0.0,35.0,8.0,14.0
164,504c929c,0,brand listing,3,checkout,1,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
165,27b3a3ed,0,viewed product,2,brand listing,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.2
166,e5c43a97,0,viewed product,10,visited site,1,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,1.0,4.75
167,d0f70c2c,0,searched products,10,checkout,1,2.0,3.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,10.0,4.0,4.571428571428571
168,1a3c6d9d,0,ad campaign hit,5,checkout,1,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,3.0,3.8
169,aba3e484,0,viewed product,47,conversion,1,6.0,7.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,47.0,5.0,9.5
170,90fe52c5,0,checkout,6,brand listing,1,4.0,1.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,2.625
171,64ba091d,0,visited site,3,ad campaign hit,1,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,1.8333333333333333
172,886cdaf8,0,viewed product,8,ad campaign hit,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,1.0,2.1666666666666665
173,c7470f99,0,viewed product,4,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,2.0
174,9f02f11c,0,ad campaign hit,19,checkout,1,19.0,4.0,1.0,0.0,8.0,0.0,12.0,0.0,0.0,12.0,5.0,8.714285714285714
175,9686409d,0,viewed product,153,generic listing,2,21.0,19.0,6.0,0.0,2.0,0.0,2.0,3.0,0.0,153.0,12.0,27.25
176,725d57de,0,viewed product,61,checkout,3,0.0,32.0,3.0,0.0,7.0,0.0,0.0,4.0,0.0,61.0,5.0,18.666666666666668
177,1bb44b38,0,viewed product,12,checkout,1,7.0,10.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,12.0,3.0,6.428571428571429
178,09da563f,0,viewed product,545,checkout,1,0.0,6.0,1.0,0.0,20.0,0.0,2.0,1.0,0.0,545.0,15.0,84.28571428571429
179,704e48ef,0,ad campaign hit,2,checkout,1,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.6
180,23ca96cb,0,viewed product,3,checkout,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,1.5
181,c69f07e6,0,viewed product,16,ad campaign hit,1,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,16.0,1.0,4.166666666666667
182,f5bb1374,0,search engine hit,2,checkout,1,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.5
183,f3f9c3f9,0,ad campaign hit,4,checkout,1,4.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,2.8333333333333335
